name,isosig,finite,fillings,betti
X_0,jLLLLQQcdfghihgiiucejjrkrvs_bBba,[],"{(-4, 5): 'o9_43086(-4, 5)', (1, 3): 'o9_43086(1, 3)', (-1, 5): 'o9_43086(-1, 5)', (2, 1): 'o9_42765(1, 2)', (-2, 5): 'o9_43086(-2, 5)', (5, 1): 'o9_43086(5, 1)', (1, 2): 'o9_43074(2, 1)', (-2, 1): 'v3522(-3, 2)', (-5, 1): 'o9_43086(-5, 1)', (-4, 3): 'o9_43086(-4, 3)', (-5, 3): 'o9_43086(-5, 3)', (-3, 2): 'o9_43086(-3, 2)', (-5, 4): 'o9_43086(-5, 4)', (4, 1): 'o9_43086(4, 1)', (1, 1): 'v2209(3, 2)', (3, 2): 'o9_43086(3, 2)', (-3, 5): 'o9_43086(-3, 5)', (-1, 2): 'v3522(-1, 3)', (1, 4): 'o9_43086(1, 4)', (-3, 1): 'o9_43074(-3, 2)', (2, 3): 'o9_43086(2, 3)', (-3, 4): 'o9_43086(-3, 4)', (-2, 3): 'o9_43074(-1, 3)', (3, 1): 'o9_43086(3, 1)', (-1, 3): 'o9_43086(-1, 3)', (-4, 1): 'o9_43086(-4, 1)', (-1, 4): 'o9_43086(-1, 4)', (-5, 2): 'o9_43086(-5, 2)'}",1
X_1,jLvLAQQbffhhiighieuamjfnckj_BbBa,[],"{(1, 3): 'o9_39706(1, 3)', (-2, 5): 'o9_39706(-2, 5)', (2, 1): 't12457(3, 1)', (-1, 5): 'o9_39706(-1, 5)', (5, 1): 'o9_39706(5, 1)', (2, 5): 'o9_39706(2, 5)', (1, 2): 'o9_39706(1, 2)', (-1, 1): 'm286(-5, 1)', (-5, 1): 'o9_39706(-5, 1)', (-4, 3): 'o9_39706(-4, 3)', (1, 5): 'o9_39706(1, 5)', (-3, 2): 'o9_39706(-3, 2)', (4, 1): 'o9_39706(4, 1)', (1, 1): 's479(-4, 1)', (3, 2): 'o9_39706(3, 2)', (-1, 2): 't11188(-3, 1)', (-2, 1): 'o9_37813(3, 1)', (1, 4): 'o9_39706(1, 4)', (-3, 1): 'o9_39706(-3, 1)', (2, 3): 'o9_39706(2, 3)', (-5, 2): 'o9_39706(-5, 2)', (-2, 3): 'o9_39706(-2, 3)', (5, 2): 'o9_39706(5, 2)', (3, 1): 'o9_39706(3, 1)', (-1, 3): 'o9_39706(-1, 3)', (-4, 1): 'o9_39706(-4, 1)', (4, 3): 'o9_39706(4, 3)', (-1, 4): 'o9_39706(-1, 4)', (-3, 4): 'o9_39706(-3, 4)', (3, 4): 'o9_39706(3, 4)'}",1
X_2,kLALLAMkcbbegghijijqqnnmjoaqws_bBcB,"[(1, 0)]","{(-2, 1): 'm199(5, 2)', (-5, 1): 'o9_16947(5, 1)', (-2, 5): 't07757(-5, 1)', (-2, 3): 'v2525(5, 1)', (5, 2): 'o9_18345(1, 5)', (-3, 5): 't07878(-5, 1)', (-4, 3): 't07227(5, 1)', (-5, 3): 't07710(5, 1)', (-3, 1): 'v1846(5, 1)', (-3, 2): 'v2332(5, 1)', (-1, 5): 'o9_18147(-5, 1)', (-5, 4): 'o9_18755(5, 1)', (1, 0): 'finite', (-4, 1): 't06282(-5, 1)', (-3, 4): 't07386(-5, 1)', (4, 1): 'o9_13891(-5, 2)', (-5, 2): 't07492(-5, 1)'}",1
X_3,kLALvMQkcbbeghjijjiqqnnovxrexs_bBba,"[(1, 0)]","{(1, 3): 't12078(-5, 1)', (1, 2): 'v3404(-5, 1)', (-2, 1): 'v2157(5, 1)', (-4, 3): 'o9_35290(5, 1)', (-3, 2): 't11514(-5, 1)', (4, 1): 'o9_31500(1, 5)', (3, 2): 't11912(5, 1)', (-1, 2): 'v3201(-5, 1)', (1, 4): 'o9_35578(-5, 1)', (-3, 1): 't09961(-5, 1)', (2, 3): 't12345(-5, 1)', (-3, 4): 'o9_36203(5, 1)', (1, 0): 'finite', (-5, 3): 'o9_36549(5, 1)', (-2, 3): 't12136(5, 1)', (3, 4): 'o9_36798(-5, 1)', (-1, 3): 't11880(5, 1)', (-4, 1): 'o9_30896(5, 1)', (4, 3): 'o9_36060(-5, 1)', (-1, 4): 'o9_35245(5, 1)', (-5, 2): 'o9_35444(5, 1)', (5, 2): 'o9_35966(-5, 1)'}",1
X_4,kLAvPAMkbcbgfhfijijxxjaqajxxkk_BaaB,[],"{(1, 2): 't10804(-4, 1)', (-5, 2): 'o9_36093(4, 1)', (3, 2): 'o9_36723(4, 1)', (1, 3): 'o9_34458(4, 1)', (-1, 3): 't11236(-4, 1)', (-3, 5): 'o9_36992(4, 1)', (3, 1): 'o9_33924(4, 1)', (2, 1): 't10717(-4, 1)', (-5, 3): 'o9_36051(4, 1)', (-3, 1): 't10260(1, 4)', (-4, 1): 'o9_33331(-1, 4)', (-4, 3): 'o9_33156(4, 1)', (-2, 5): 'o9_37159(4, 1)', (2, 3): 'o9_36876(4, 1)', (-1, 4): 'o9_34853(4, 1)', (-3, 4): 'o9_34277(4, 1)', (1, 1): 's580(2, 3)'}",1
X_5,kLAvPAMkbcbgfhfijijxxjqxqkhhkr_BbaB,"[(1, 0)]","{(3, 2): 't09339(4, 5)', (4, 1): 'o9_24823(1, 5)', (5, 2): 'o9_29994(1, 5)', (-3, 1): 'o9_23068(1, 5)', (4, 3): 'o9_29310(1, 5)', (1, 0): 'finite', (3, 5): 'o9_33240(-5, 1)', (3, 4): 'o9_31122(-5, 1)', (5, 3): 'o9_31418(1, 5)'}",1
X_6,kLAvPAMkbcbhgffijijhhjaaasqhnr_BabB,[],"{(1, 2): 't06532(-1, 4)', (3, 2): 'o9_25642(-3, 5)', (1, 3): 'o9_24909(-1, 4)', (3, 1): 'o9_22588(-3, 5)', (2, 1): 'v2315(5, 3)', (-3, 1): 't09571(-5, 1)', (2, 3): 'o9_27990(4, 1)', (-4, 1): 'o9_28672(-5, 1)', (-5, 2): 'o9_32638(-5, 1)', (-5, 3): 'o9_33240(-5, 1)'}",1
X_7,kLAvPAMkbcbhgffijijhhjhhhnxxnj_BbBa,"[(0, 1), (1, 0)]","{(0, 1): 'finite', (-2, 3): 'o9_27720(-5, 1)', (-2, 1): 'v2359(2, 5)', (3, 1): 't09589(-4, 1)', (-1, 3): 'o9_24611(1, 5)', (5, 2): 'o9_32560(4, 1)', (-1, 2): 't06375(1, 5)', (-3, 1): 't09299(-2, 5)', (-3, 2): 'o9_25529(2, 5)', (-4, 1): 'o9_26889(2, 5)', (2, 5): 'o9_32614(-1, 4)', (4, 1): 'o9_28635(4, 1)', (1, 0): 'finite', (5, 3): 'o9_33156(4, 1)'}",1
X_8,kLAvPMMkcbbghfigjijhhkhxaxsqnj_aBbB,"[(1, 0)]","{(3, 2): 'o9_36506(4, 5)', (-2, 3): 't11477(-5, 4)', (-3, 5): 'o9_38081(5, 4)', (3, 1): 'o9_33323(4, 5)', (-4, 3): 'o9_35519(-5, 4)', (-5, 3): 'o9_37727(-5, 4)', (-4, 1): 'o9_34398(-1, 4)', (-2, 5): 'o9_37929(5, 4)', (-1, 4): 'o9_35311(-5, 4)', (1, 0): 'finite', (-3, 2): 't11317(-1, 4)', (-3, 4): 'o9_35807(5, 4)', (-5, 2): 'o9_37404(-5, 4)'}",1
X_9,kLAvPMMkcbbghfigjijhhkhxaxsxnk_aBbB,"[(1, 0)]","{(-2, 1): 'v1356(-5, 2)', (-2, 3): 't11347(-5, 4)', (-3, 5): 'o9_37750(5, 4)', (3, 1): 'o9_33186(4, 5)', (1, 0): 'finite', (3, 2): 'o9_36387(4, 5)', (-4, 3): 'o9_35048(-5, 4)', (-5, 3): 'o9_37317(-5, 4)', (-3, 1): 't10738(1, 4)', (-3, 2): 't11111(1, 4)', (-2, 5): 'o9_37678(-5, 4)', (-1, 4): 'o9_35154(-5, 4)', (2, 3): 'o9_36672(4, 5)', (-4, 1): 'o9_33982(-1, 4)', (-3, 4): 'o9_35395(5, 4)', (-5, 2): 'o9_37017(-5, 4)'}",1
